keys,en,pt_BR,es
ENZYME_HELICASE,Helicase,Helicase,Helicasa
ENZYME_HELICASE_FULL,DnaB Helicase,Helicase DnaB,Helicasa DnaB
ENZYME_POLYMERASE,Polymerase,Polimerase,Polimerasa
ENZYME_POLYMERASE_FULL,DNA Polymerase III,DNA Polimerase III,ADN Polimerasa III
ENZYME_PRIMASE,Primase,Primase,Primasa
ENZYME_LIGASE,Ligase,Ligase,Ligasa
ZOOM_LEADING_POLYMERASE,Leading Polymerase,Polimerase Líder,Polimerasa Líder
ZOOM_LAGGING_POLYMERASE,Lagging Polymerase,Polimerase Retardada,Polimerasa Retardada
ZOOM_NEW_LEADING_STRAND,New Top Strand,Nova Fita Superior,Nueva Hebra Superior
ZOOM_NEW_LAGGING_STRAND,New Bottom Strand,Nova Fita Inferior,Nueva Hebra Inferior
UI_SPEED_LABEL,Speed:,Velocidade:,Velocidad:
